candidate_rank,package_name,download_count,summary,package_version_at_cutoff,package_build_at_cutoff,package_subdir,artifact_basename,artifact_sha256,repository_url,repository_mapping_source,repository_archived,snapshot_commit,primary_language,languages_json,upstream_project_id,executable_candidate,executable_confidence,interface_status,interface_evidence_json,input_families,output_families,data_requirement,provisionally_eligible,eligible_sequence,first_200_eligible,exclusion_code,review_status,notes
810,mummer4,20770,MUMmer is a system for rapidly aligning entire genomes.,4.0.1,pl5321h9948957_0,linux-64,linux-64/mummer4-4.0.1-pl5321h9948957_0.tar.bz2,6fcd9dfd78487a2ffc9e5ade93c51115cf5ca62a5e1b64e7265606583cd5d05d,https://github.com/mummer4/mummer,anaconda:dev_url,False,828c3df5e6c0cdb8dd272969ac54cfebb83f67ac,C++,"{""Awk"": 856, ""C"": 306923, ""C++"": 2143887, ""M4"": 46369, ""Makefile"": 30518, ""Perl"": 199829, ""Python"": 1351, ""Ruby"": 3859, ""SWIG"": 3188, ""Shell"": 8893}",mummer4.mummer,delta2vcf;show-aligns,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:delta2vcf"", ""bioconda-meta.yaml:test.commands:show-aligns""]",FASTA,FASTA,UNKNOWN,True,196,True,,metadata_interface_reviewed,
811,seqlib,20650,"C++ interface to HTSlib, BWA-MEM and Fermi.",1.2.0,hbefcdb2_0,linux-64,linux-64/seqlib-1.2.0-hbefcdb2_0.tar.bz2,91155bc28262726a5de46cde367477b0241a4a76da73b22dc7bf95b4eb29e138,https://github.com/walaj/SeqLib,anaconda:dev_url,False,38f08288a6369065be1861a94b8cbfc0a72f2647,C++,"{""C"": 1603, ""C++"": 622724, ""CMake"": 5688, ""M4"": 2031, ""Makefile"": 138149, ""Shell"": 7452}",walaj.seqlib,seqlib,explicit_metadata,confirmed_end_user_cli,"[""repository:README:documented-command""]",UNKNOWN,UNKNOWN,UNKNOWN,True,197,True,,metadata_interface_reviewed,
812,bioconda-utils,20582,Utilities for building and managing bioconda recipes.,4.5.0,pyhdfd78af_0,noarch,noarch/bioconda-utils-4.5.0-pyhdfd78af_0.conda,2a721d3e2b49fafcd815f1a0f9d8fbefb8f2bbae7b6c48fe533e8f27bd64bcd6,,,,,,{},,bioconda-utils,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:bioconda-utils""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
813,perl-perl-ostype,20526,Map Perl operating system names to generic types,1.010,pl5321hdfd78af_2,noarch,noarch/perl-perl-ostype-1.010-pl5321hdfd78af_2.tar.bz2,,https://github.com/Perl-Toolchain-Gang/Perl-OSType,anaconda:home,False,67081f44314e28ed75b2e1a4feb5bc30950f8d8a,Perl,"{""Perl"": 6253}",perl-toolchain-gang.perl-ostype,,none,excluded,"[""upstream-description:library-only""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,LIBRARY_ONLY,metadata_interface_reviewed,
814,crossmap,20464,CrossMap is a program for convenient conversion of genome coordinates and genomeannotation files between assemblies.,0.7.3,pyhdfd78af_0,noarch,noarch/crossmap-0.7.3-pyhdfd78af_0.tar.bz2,f960dee22491969712872b4921fc9974ba54253e5428b6fed33f04422ecb6c14,https://github.com/liguowang/CrossMap,anaconda:dev_url,False,d14edd6d1d237bc221962dd325275fb2ff0a5f37,Python,"{""Python"": 165031}",liguowang.crossmap,CrossMap,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:CrossMap"", ""repository:pyproject.toml:declared-executable:CrossMap""]",FASTA;GFF,FASTA;GFF,UNKNOWN,True,198,True,,metadata_interface_reviewed,
815,fwdpy11,20378,Forward-time population genetic simulation in Python.,0.24.5,py312hf3590f5_0,linux-64,linux-64/fwdpy11-0.24.5-py312hf3590f5_0.tar.bz2,4856df8b4024a310f56bca0b7606f82fa7fe8734d9af9ea3754bfafe6940fdb2,https://github.com/molpopgen/fwdpy11,anaconda:dev_url,False,9133f70fb99ba3ff542ddde5e71af69ae34f167d,C++,"{""C"": 148, ""C++"": 633961, ""CMake"": 11811, ""Dockerfile"": 1430, ""Python"": 577437, ""Rust"": 5341, ""Shell"": 2825}",molpopgen.fwdpy11,fwdpy11,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:fwdpy11"", ""repository:pyproject.toml:declared-executable:fwdpy11""]",UNKNOWN,UNKNOWN,UNKNOWN,True,199,True,,metadata_interface_reviewed,
816,cnvkit,20365,Copy number variant detection from high-throughput sequencing.,0.9.13,pyhdfd78af_0,noarch,noarch/cnvkit-0.9.13-pyhdfd78af_0.conda,6cbdb362f62fbff8d3a98db704d6df4bafc4c35c9c7c72bb55a6bfbb45c29d82,https://github.com/etal/cnvkit,anaconda:dev_url,False,6acfbc70c2c7dfdcf3f564288ac62dff7a7fc4df,Python,"{""Dockerfile"": 2577, ""Makefile"": 12577, ""Python"": 1322375, ""Shell"": 1157}",etal.cnvkit,cnv_annotate.py;cnv_expression_correlate.py;cnv_gene_info.py;cnv_updater.py;cnvkit;cnvkit.py;genome_instability_index.py;guess_baits.py;reference2targets.py;skg_convert.py,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:cnv_updater.py"", ""bioconda-meta.yaml:test.commands:cnvkit.py"", ""bioconda-meta.yaml:test.commands:skg_convert.py"", ""repository:README:documented-command"", ""repository:pyproject.toml:declared-executable:cnv_annotate.py"", ""repository:pyproject.toml:declared-executable:cnv_expression_correlate.py"", ""repository:pyproject.toml:declared-executable:cnv_gene_info.py"", ""repository:pyproject.toml:declared-executable:cnv_updater.py"", ""repository:pyproject.toml:declared-executable:cnvkit.py"", ""repository:pyproject.toml:declared-executable:genome_instability_index.py"", ""repository:pyproject.toml:declared-executable:guess_baits.py"", ""repository:pyproject.toml:declared-executable:reference2targets.py"", ""repository:pyproject.toml:declared-executable:skg_convert.py""]",VCF,VCF,UNKNOWN,True,200,True,,metadata_interface_reviewed,
817,bioconductor-tfbstools,20224,Software Package for Transcription Factor Binding Site (TFBS) Analysis,1.48.0,r45h01b2380_0,linux-64,linux-64/bioconductor-tfbstools-1.48.0-r45h01b2380_0.conda,ec45dae3dc5502ec747f6f4324455941a2e9d9260483560c0f7eb981e1dbe800,,,,,,{},,,none,unknown,"[""repository-metadata:tree-unavailable""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
818,metaphlan2,20188,Metagenomic Phylogenetic Analysis,2.96.1,py_0,noarch,noarch/metaphlan2-2.96.1-py_0.tar.bz2,,,,,,,{},,,none,unknown,"[""repository-metadata:tree-unavailable""]",Newick,Newick,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
819,geofetch,20160,Downloads data and metadata from GEO and SRA and creates standard PEPs.,0.12.11,pyhdfd78af_0,noarch,noarch/geofetch-0.12.11-pyhdfd78af_0.conda,c2d4bfd3ea65c8546cea5c99df98c9e17781832579a36f4ba9f30a727ec5a9ab,https://github.com/pepkit/geofetch,anaconda:dev_url,False,58b983cde54839dd27c6f10d698fe194769f1d22,Python,"{""Python"": 154570}",pepkit.geofetch,geofetch;sraconvert,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:geofetch"", ""bioconda-meta.yaml:test.commands:sraconvert"", ""repository:pyproject.toml:declared-executable:geofetch"", ""repository:pyproject.toml:declared-executable:sraconvert""]",UNKNOWN,UNKNOWN,UNKNOWN,True,201,False,,metadata_interface_reviewed,
820,cafe,20139,Computational Analysis of gene Family Evolution (CAFE),5.1.0,h5ca1c30_1,linux-64,linux-64/cafe-5.1.0-h5ca1c30_1.tar.bz2,9a2452d2008d3eb70128b8a2837eea900e31acfddf67b67640f64187a3ebe200,https://github.com/hahnlab/CAFE5,bioconda:source_url,False,b9e3b2e55a2412fca94f69ae42a2028cfeca3e95,C++,"{""C"": 2957, ""C++"": 983536, ""CMake"": 5699, ""Python"": 16141, ""R"": 5309}",hahnlab.cafe5,cafe;cafe5,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:cafe5"", ""repository:README:documented-command""]",UNKNOWN,UNKNOWN,UNKNOWN,True,202,False,,metadata_interface_reviewed,
821,htsbox,20135,HTSbox is a fork of early HTSlib. It is a collection of small experimental tools manipulating HTS-related files.,,,,,,https://github.com/lh3/htsbox,bioconda:source_url,False,c901cb3a3324c119988f4bcd4412cbe48e1b5a38,C,"{""C"": 403327, ""Makefile"": 2262}",lh3.htsbox,htsbox,explicit_metadata,confirmed_end_user_cli,"[""repository:README:documented-command""]",UNKNOWN,UNKNOWN,UNKNOWN,True,203,False,,metadata_interface_reviewed,
822,perl-text-csv,20085,comma-separated values manipulator (using XS or PurePerl),2.01,pl5321hdfd78af_0,noarch,noarch/perl-text-csv-2.01-pl5321hdfd78af_0.tar.bz2,,,,,,,{},,,none,excluded,"[""upstream-description:library-only""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
823,ncbi-ngs-sdk,19958,"NGS is a new, domain-specific API for accessing reads, alignments and pileups produced from Next Generation Sequencing.",3.0.1,pl5321h0ff018f_5,linux-64,linux-64/ncbi-ngs-sdk-3.0.1-pl5321h0ff018f_5.tar.bz2,5604114ec447dd9cea2bdb2dc9fb15273ecafc6343d8b6b1db5a53bb2174e42f,https://github.com/ncbi/ngs,anaconda:home,False,7de9aed2b2d595e1d4577b376ba506c9e7b31d6f,C++,"{""C"": 117742, ""C++"": 933681, ""Java"": 332850, ""Makefile"": 45710, ""Perl"": 419173, ""Python"": 132039, ""Shell"": 15144}",ncbi.ngs,,none,excluded,"[""upstream-description:library-only""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,LIBRARY_ONLY,metadata_interface_reviewed,
824,perl-pod-usage,19938,Print a usage message from embedded pod documentation.,2.05,pl5321hdfd78af_0,noarch,noarch/perl-pod-usage-2.05-pl5321hdfd78af_0.tar.bz2,2cc910e0d65cb688883967bafa368059b274d3267dee63c308bb44a65fbffd15,,,,,,{},,,none,excluded,"[""upstream-description:library-only""]",BED,BED,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
