candidate_rank,pkg_name,download_count
473,bioconductor-org.hs.eg.db,50190
474,humann,50155
475,auspice,49317
476,mosdepth,49219
477,perl-devel-checklib,48762
478,perl-cpan-meta-requirements,48653
479,perl-xml-sax-expat,48459
480,zol,48436
481,iow,48027
482,jellyfish,47624
483,perl-class-data-inheritable,47465
484,unifrac-binaries,47305
485,bioconductor-hdf5array,47138
486,mappy,47010
487,perl-math-cdf,46909
488,kmer-jellyfish,46880
489,sorted_nearest,46747
490,perl-extutils-cppguess,46727
491,snakemake-wrapper-utils,46663
492,bioconductor-apeglm,46630
493,macs2,46285
494,bioconductor-biocbaseutils,45698
495,perl-html-tree,45304
496,perl-mce,44920
497,r-vegan,44919
498,perl-importer,44917
499,kallisto,44817
500,r-seurat,44739
501,metaeuk,44667
502,sortmerna,44629
503,tabixpp,44390
504,mygene,44142
505,perl-test-differences,43947
506,fsnviz,43921
507,bioconductor-decontam,43807
508,pyranges,43697
509,bioconductor-complexheatmap,43262
510,perl-file-chdir,43163
511,perl-test-exception,43162
512,perl-algorithm-diff,43121
513,perl-text-diff,43030
514,perl-test-deep,42998
515,perl-sub-uplevel,42735
516,perl-test-warn,42688
517,ncbi-amrfinderplus,42495
518,bioconductor-multiassayexperiment,42392
519,kaiju,42284
520,jcvi,42266
521,perl-scope-guard,42076
522,perl-sub-info,41688
523,bioconductor-decipher,41486
524,perl-test-needs,41440
525,mummer,41340
526,gatk,41272
527,openstructure,41046
528,sourmash,41037
529,bioconductor-mzr,41005
530,bedops,40705
531,kmc,40699
532,perl-svg,40632
533,coreutils,40626
534,pybiolib,40285
535,medaka,40245
536,skani,40197
537,varlociraptor,40081
538,bioconductor-graph,40047
539,perl-cpan-meta-check,39994
540,voronota,39772
541,mcl,39473
542,bioconductor-ancombc,39460
543,pyspoa,39214
544,perl-class-inspector,39108
545,perl-graph,38961
546,bioconductor-protgenerics,38682
547,bioconductor-treesummarizedexperiment,38407
548,parallel,38262
549,perl-file-path,38215
550,c-ares,38041
551,perl-file-temp,37971
552,bioconductor-mia,37880
